#{"t_start": 1658587415.733276, "env_id": "LunarLander-v2"}
r,l,t
-131.315455,69,0.068243
-236.339873,108,0.151358
-417.008271,122,0.250821
-223.02456,87,0.317251
-359.583514,99,0.390208
-118.628774,72,0.442736
-66.016044,67,0.489303
-325.376749,106,0.565804
-360.751293,90,0.628615
-270.15481,78,0.680823
-258.257037,103,0.778238
-171.589967,70,0.827866
-94.07923,88,0.890443
-181.33847,122,0.978719
-400.678719,112,1.059136
-61.27863,62,1.10112
-283.965815,94,1.165889
-91.742481,62,1.207501
-391.970123,94,1.27339
-1.470368,121,1.361691
-82.957398,62,1.404934
-94.395282,68,1.452819
-90.63484,76,1.522562
-145.993044,72,2.630754
-110.781252,90,2.705305
-142.458236,95,2.780809
-182.141178,113,2.873347
-98.067025,71,2.930749
-87.456914,82,2.992492
-100.344267,73,3.047043
-206.097051,85,3.109119
-93.251857,77,3.163168
-172.767884,83,3.221714
-100.843054,123,3.310359
-190.658146,87,3.386761
-73.500751,64,3.431909
-64.175076,68,3.483025
-368.470879,113,3.573209
-157.694703,83,3.631542
-119.07805,104,3.708486
-128.206705,100,3.790919
-134.929734,90,3.866978
-87.908233,67,3.924963
-101.225111,57,3.972117
-115.748095,101,4.052966
-71.543086,57,4.092882
-94.777735,130,5.219885
-151.872182,96,5.291343
-227.562382,124,5.382343
-168.340208,85,5.443269
-112.766704,70,5.496204
-279.153401,97,5.569007
-117.926392,66,5.614143
-192.005921,145,5.719828
-101.473892,74,5.770783
-121.722652,97,5.83878
-52.190098,63,5.897036
-347.823043,135,5.997154
-191.039335,100,6.068394
-214.865265,133,6.164558
-171.861659,98,6.233568
-158.306393,118,6.315828
-27.7998,69,6.363602
-127.427645,116,6.445088
-187.090466,92,6.5092
-185.530332,93,6.573632
-161.877093,91,6.651813
-112.902954,79,7.700225
-25.548304,107,7.778939
-165.113337,117,7.865999
-211.449163,92,7.93581
-182.744294,108,8.017221
-89.058634,95,8.084136
-66.20606,64,8.128288
